From	Uniprot_Entry	Reviewed	Seq_ID	Protein_names	Gene_Names	Organism	Length	Taxonomic_lineage	Active_site	Binding_site	EC_number	Function	Protein_families	RefSeq	AlphaFoldDB	PDB	EMDB
F4KJF7	F4KJF7	unreviewed	F4KJF7_PORAD	Rhomboid family protein	Poras_0650	Porphyromonas asaccharolytica (strain ATCC 25260 / DSM 20707 / BCRC 10618 / CCUG 7834 / JCM 6326 / LMG 13178 / VPI 4198 / B440) (Bacteroides asaccharolyticus)	239	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidia (class), Bacteroidales (order), Porphyromonadaceae (family), Porphyromonas (genus), Porphyromonas asaccharolytica (species)					Peptidase S54 family	WP_004330745.1;	F4KJF7;		
D6X1D9	D6X1D9	unreviewed	D6X1D9_TRICA	Protein rhomboid-like Protein	AUGUSTUS-3.0.2_11604 TcasGA2_TC011604	Tribolium castaneum (Red flour beetle)	276	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Coleoptera (order), Polyphaga (suborder), Cucujiformia (infraorder), Tenebrionoidea (superfamily), Tenebrionidae (family), Tenebrionidae incertae sedis (no rank), Tribolium (genus)					Peptidase S54 family	XP_008198534.1;	D6X1D9;		
J2LHG9	J2LHG9	unreviewed	J2LHG9_9BURK	Putative membrane protein	PMI15_02072	Polaromonas sp. CF318	488	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Burkholderiales (order), Comamonadaceae (family), Polaromonas (genus), unclassified Polaromonas (no rank)					Peptidase S54 family	WP_007867739.1;	J2LHG9;		
B9LRE0	B9LRE0	unreviewed	B9LRE0_HALLT	Rhomboid family protein	Hlac_0158	Halorubrum lacusprofundi (strain ATCC 49239 / DSM 5036 / JCM 8891 / ACAM 34)	186	cellular organisms (no rank), Archaea (superkingdom), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloferacaceae (family), Halorubrum (genus), Halorubrum lacusprofundi (species)						WP_012659405.1;	B9LRE0;		
V3ZX17	V3ZX17	unreviewed	V3ZX17_LOTGI	Peptidase S54 rhomboid domain-containing protein	LOTGIDRAFT_107360	Lottia gigantea (Giant owl limpet)	358	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Spiralia (clade), Lophotrochozoa (clade), Mollusca (phylum), Gastropoda (class), Patellogastropoda (subclass), Lottioidea (superfamily), Lottiidae (family), Lottia (genus)	"ACT_SITE 247; /note=""Nucleophile""; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50""; ACT_SITE 308; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50"""				Peptidase S54 family	XP_009062119.1;	V3ZX17;		
Q5L7Q6	Q5L7Q6	unreviewed	Q5L7Q6_BACFN	Transmembrane rhomboid family protein	BF9343_4113	Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / CCUG 4856 / JCM 11019 / LMG 10263 / NCTC 9343 / Onslow / VPI 2553 / EN-2)	224	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidia (class), Bacteroidales (order), Bacteroidaceae (family), Bacteroides (genus), Bacteroides fragilis (species)					Peptidase S54 family	WP_005791187.1;	Q5L7Q6;		
A0A024QFA4	A0A024QFA4	unreviewed	A0A024QFA4_9BACI	Rhomboid protease GluP	gluP_2 BN990_03260	Virgibacillus massiliensis	257	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Virgibacillus (genus)					Peptidase S54 family	WP_021288594.1;	A0A024QFA4;		
W9EFW7	W9EFW7	unreviewed	W9EFW7_9LACO	GlpG protein (Membrane protein of glp regulon)	B808_938	Fructilactobacillus florum 8D	222	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Lactobacillales (order), Lactobacillaceae (family), Fructilactobacillus (genus), Fructilactobacillus florum (species)					Peptidase S54 family	WP_035422222.1;	W9EFW7;		
A0A086YMY9	A0A086YMY9	unreviewed	A0A086YMY9_9FIRM	Protease	DK28_0204580	Peptococcaceae bacterium SCADC1_2_3	221	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Eubacteriales (order), Peptococcaceae (family), unclassified Peptococcaceae (no rank)							A0A086YMY9;		
R7DEX5	R7DEX5		R7DEX5_9BACT														
A0A0F3K5A7	A0A0F3K5A7	unreviewed	A0A0F3K5A7_9GAMM	Membrane protein	VI08_18835	Luteibacter yeojuensis	217	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Lysobacterales (order), Rhodanobacteraceae (family), Luteibacter (genus)					Peptidase S54 family	WP_045831177.1;	A0A0F3K5A7;		
A0A0G3GST8	A0A0G3GST8	unreviewed	A0A0G3GST8_9CORY	Putative membrane protein	CEPID_00130	Corynebacterium epidermidicanis	232	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Corynebacteriaceae (family), Corynebacterium (genus)					Peptidase S54 family	WP_047239250.1;	A0A0G3GST8;		
E6J6J4	E6J6J4		E6J6J4_9ACTN														
R5W0X9	R5W0X9		R5W0X9_9FIRM														
Q3IPJ8	Q3IPJ8		Q3IPJ8_NATPD														
R5CBR3	R5CBR3		R5CBR3_9BACE														
J7LJ61	J7LJ61	unreviewed	J7LJ61_NOCAA	Rhomboid family protein	B005_1909	Nocardiopsis alba (strain ATCC BAA-2165 / BE74)	256	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Nocardiopsis (genus), Nocardiopsis alba (species)					Peptidase S54 family		J7LJ61;		
Q9XA09	Q9XA09	unreviewed	Q9XA09_STRCO	Membrane protein	SCO3855 SCH69.25c	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	297	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus), Streptomyces albidoflavus group (no rank), Streptomyces coelicolor (species)					Peptidase S54 family	NP_628043.1;WP_003975079.1;	Q9XA09;		
B9M642	B9M642	unreviewed	B9M642_GEODF	Rhomboid-related membrane protein	Geob_1665	Geotalea daltonii (strain DSM 22248 / JCM 15807 / FRC-32) (Geobacter daltonii)	313	cellular organisms (no rank), Bacteria (superkingdom), Thermodesulfobacteriota (phylum), Desulfuromonadia (class), Geobacterales (order), Geobacteraceae (family), Geotalea (genus), Geotalea daltonii (species)					Peptidase S54 family	WP_012646752.1;	B9M642;		
A0A0A2N0Q5	A0A0A2N0Q5	unreviewed	A0A0A2N0Q5_9FLAO	Protease	Q767_01320	Flavobacterium enshiense DK69	249	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Flavobacteriia (class), Flavobacteriales (order), Flavobacteriaceae (family), Flavobacterium (genus), Flavobacterium enshiense (species)					Peptidase S54 family		A0A0A2N0Q5;		
K9R753	K9R753	unreviewed	K9R753_9CYAN	Putative membrane protein	Riv7116_0756	Rivularia sp. PCC 7116	248	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Nostocales (order), Rivulariaceae (family), Rivularia (genus), unclassified Rivularia (in: cyanobacteria) (no rank)					Peptidase S54 family		K9R753;		
R5AW83	R5AW83	unreviewed	R5AW83_9BACT	Peptidase S54 rhomboid domain-containing protein	BN456_01779	Prevotella sp. CAG:1031	250	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidia (class), Bacteroidales (order), Prevotellaceae (family), Prevotella (genus), unclassified Prevotella (no rank)					Peptidase S54 family		R5AW83;		
R2SXX9	R2SXX9	unreviewed	R2SXX9_9ENTE	Small hydrophobic molecule transporter	UAW_00287	Enterococcus haemoperoxidus ATCC BAA-382	236	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Lactobacillales (order), Enterococcaceae (family), Enterococcus (genus), Enterococcus haemoperoxidus (species)					Peptidase S54 family	WP_010760499.1;	R2SXX9;		
A0A099T491	A0A099T491	unreviewed	A0A099T491_9RHOB	Peptidase S54 rhomboid domain-containing protein	PM04_17025	Thalassobacter sp. 16PALIMAR09	249	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Roseobacteraceae (family), Thalassobacter (genus), unclassified Thalassobacter (no rank)							A0A099T491;		
Q2IPS7	Q2IPS7	unreviewed	Q2IPS7_ANADE	Rhomboid-like protein	Adeh_1033	Anaeromyxobacter dehalogenans (strain 2CP-C)	198	cellular organisms (no rank), Bacteria (superkingdom), Myxococcota (phylum), Myxococcia (class), Myxococcales (order), Cystobacterineae (suborder), Anaeromyxobacteraceae (family), Anaeromyxobacter (genus), Anaeromyxobacter dehalogenans (species)						WP_011420091.1;	Q2IPS7;		
D7CJX5	D7CJX5	unreviewed	D7CJX5_SYNLT	Rhomboid family protein	Slip_0303	Syntrophothermus lipocalidus (strain DSM 12680 / TGB-C1)	213	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Eubacteriales (order), Syntrophomonadaceae (family), Syntrophothermus (genus), Syntrophothermus lipocalidus (species)					Peptidase S54 family	WP_013174491.1;	D7CJX5;		
F6AK84	F6AK84	unreviewed	F6AK84_PSEF1	Peptidase S54, rhomboid domain protein	Psefu_1825	Pseudomonas fulva (strain 12-X)	289	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pseudomonadales (order), Pseudomonadaceae (family), Pseudomonas (genus), Pseudomonas putida group (no rank), Pseudomonas fulva (species)						WP_013790929.1;	F6AK84;		
R5W908	R5W908		R5W908_9FIRM														
A0A0A7FZ81	A0A0A7FZ81	unreviewed	A0A0A7FZ81_9CLOT	Rhomboid family protein	U729_109	Clostridium baratii str. Sullivan	323	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Eubacteriales (order), Clostridiaceae (family), Clostridium (genus), Clostridium baratii (species)					Peptidase S54 family	WP_039310715.1;	A0A0A7FZ81;		
Q0RNE5	Q0RNE5	unreviewed	Q0RNE5_FRAAA	Putative integral membrane protein (Partial)	FRAAL2295	Frankia alni (strain DSM 45986 / CECT 9034 / ACN14a)	289	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Frankiales (order), Frankiaceae (family), Frankia (genus), Frankia alni (species)					Peptidase S54 family	WP_011603459.1;	Q0RNE5;		
E0TFK9	E0TFK9	unreviewed	E0TFK9_PARBH	Peptidase S54 rhomboid domain-containing protein	PB2503_12659	Parvularcula bermudensis (strain ATCC BAA-594 / HTCC2503 / KCTC 12087)	240	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Parvularculales (order), Parvularculaceae (family), Parvularcula (genus), Parvularcula bermudensis (species)					Peptidase S54 family	WP_013301543.1;	E0TFK9;		
F0Z2G1	F0Z2G1	unreviewed	F0Z2G1_9CLOT	Putative small hydrophobic molecule transporter protein	HMPREF0240_03287	Clostridium sp. D5	223	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Eubacteriales (order), Clostridiaceae (family), Clostridium (genus), unclassified Clostridium (no rank)					Peptidase S54 family		F0Z2G1;		
A4F5R4	A4F5R4	unreviewed	A4F5R4_SACEN	Rhomboid-like protein	SACE_0035	Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338)	259	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Saccharopolyspora (genus), Saccharopolyspora erythraea (species)					Peptidase S54 family		A4F5R4;		
D8UHN4	D8UHN4	unreviewed	D8UHN4_VOLCA	Peptidase S54 rhomboid domain-containing protein	VOLCADRAFT_99376	Volvox carteri f. nagariensis	373	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Chlorophyta (phylum), core chlorophytes (clade), Chlorophyceae (class), CS clade (clade), Chlamydomonadales (order), Volvocaceae (family), Volvox (genus), Volvox carteri (species)					Peptidase S54 family	XP_002958174.1;	D8UHN4;		
R7M5Y3	R7M5Y3		R7M5Y3_9CLOT														
F6DTZ5	F6DTZ5	unreviewed	F6DTZ5_DESRL	Rhomboid family protein	Desru_0730	Desulforamulus ruminis (strain ATCC 23193 / DSM 2154 / NCIMB 8452 / DL) (Desulfotomaculum ruminis)	212	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Eubacteriales (order), Peptococcaceae (family), Desulforamulus (genus), Desulforamulus ruminis (species)					Peptidase S54 family		F6DTZ5;		
D1CHH6	D1CHH6	unreviewed	D1CHH6_THET1	Rhomboid family protein	Tter_2298	Thermobaculum terrenum (strain ATCC BAA-798 / CCMEE 7001 / YNP1)	230	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Chloroflexota (phylum), Chloroflexota incertae sedis (no rank), Thermobaculum (genus), Thermobaculum terrenum (species)							D1CHH6;		
D8U0P0	D8U0P0	unreviewed	D8U0P0_VOLCA	Peptidase S54 rhomboid domain-containing protein	VOLCADRAFT_105418	Volvox carteri f. nagariensis	399	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Chlorophyta (phylum), core chlorophytes (clade), Chlorophyceae (class), CS clade (clade), Chlamydomonadales (order), Volvocaceae (family), Volvox (genus), Volvox carteri (species)					Peptidase S54 family	XP_002952281.1;	D8U0P0;		
G4H967	G4H967	unreviewed	G4H967_9BACL	Rhomboid family protein	PaelaDRAFT_0528	Paenibacillus lactis 154	204	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Paenibacillaceae (family), Paenibacillus (genus), Paenibacillus lactis (species)					Peptidase S54 family	WP_007127704.1;	G4H967;		
S0K662	S0K662		S0K662_9ENTE														
L7WDX0	L7WDX0	unreviewed	L7WDX0_NONDD	Putative transmembrane rhomboid family protein	DDD_3009	Nonlabens dokdonensis (strain DSM 17205 / KCTC 12402 / DSW-6) (Donghaeana dokdonensis)	211	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Flavobacteriia (class), Flavobacteriales (order), Flavobacteriaceae (family), Nonlabens (genus), Nonlabens dokdonensis (species)					Peptidase S54 family	WP_015363632.1;	L7WDX0;		
E7NSM1	E7NSM1		E7NSM1_TREPH														
Q6LHW3	Q6LHW3	unreviewed	Q6LHW3_PHOPR	Hypothetical rhomboid family protein	SEN0012 PBPRB1245	Photobacterium profundum (strain SS9)	185	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Vibrionales (order), Vibrionaceae (family), Photobacterium (genus), Photobacterium profundum (species)							Q6LHW3;		
Q2ILN8	Q2ILN8	unreviewed	Q2ILN8_ANADE	Rhomboid-like protein	Adeh_2794	Anaeromyxobacter dehalogenans (strain 2CP-C)	360	cellular organisms (no rank), Bacteria (superkingdom), Myxococcota (phylum), Myxococcia (class), Myxococcales (order), Cystobacterineae (suborder), Anaeromyxobacteraceae (family), Anaeromyxobacter (genus), Anaeromyxobacter dehalogenans (species)					Peptidase S54 family	WP_011421846.1;	Q2ILN8;		
D7B8W6	D7B8W6	unreviewed	D7B8W6_NOCDD	Rhomboid family protein	Ndas_5244	Nocardiopsis dassonvillei (strain ATCC 23218 / DSM 43111 / CIP 107115 / JCM 7437 / KCTC 9190 / NBRC 14626 / NCTC 10488 / NRRL B-5397 / IMRU 509) (Actinomadura dassonvillei)	306	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Nocardiopsis (genus), Nocardiopsis dassonvillei (species), Nocardiopsis dassonvillei subsp. dassonvillei (subspecies)					Peptidase S54 family		D7B8W6;		
K0PWP6	K0PWP6	unreviewed	K0PWP6_9HYPH	Putative rhombiod family transmembrane protein	BN77_2899	Rhizobium mesoamericanum STM3625	255	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Rhizobiaceae (family), Rhizobium/Agrobacterium group (no rank), Rhizobium (genus), Rhizobium mesoamericanum (species)						WP_007532752.1;	K0PWP6;		
I7L651	I7L651	unreviewed	I7L651_9LACO	Peptidase S54 rhomboid domain-containing protein	BN55_00470	Lactobacillus hominis DSM 23910 = CRBIP 24.179	227	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Lactobacillales (order), Lactobacillaceae (family), Lactobacillus (genus), Lactobacillus hominis (species)					Peptidase S54 family	WP_008470712.1;	I7L651;		
I4VQQ3	I4VQQ3	unreviewed	I4VQQ3_9GAMM	Peptidase S54 rhomboid domain-containing protein	UU9_08972	Rhodanobacter fulvus Jip2	202	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Lysobacterales (order), Rhodanobacteraceae (family), Rhodanobacter (genus), Rhodanobacter fulvus (species)							I4VQQ3;		
A0A0D6JJ20	A0A0D6JJ20	unreviewed	A0A0D6JJ20_9HYPH	Rhomboid family protein	YBN1229_v1_3083	Candidatus Filomicrobium marinum	242	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Hyphomicrobiaceae (family), Filomicrobium (genus)						WP_046478615.1;	A0A0D6JJ20;		
A0A0A7LLQ2	A0A0A7LLQ2	unreviewed	A0A0A7LLQ2_9BACT	Rhomboid family protein	PK28_05910	Hymenobacter sp. DG25B	299	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Cytophagia (class), Cytophagales (order), Hymenobacteraceae (family), Hymenobacter (genus), unclassified Hymenobacter (no rank)					Peptidase S54 family	WP_044512374.1;	A0A0A7LLQ2;		
A0A0G2DUY9	A0A0G2DUY9	unreviewed	A0A0G2DUY9_9PEZI	Putative phosphatidylinositol phospholipase c	UCDDS831_g07943	Diplodia seriata	260	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Dothideomycetes incertae sedis (no rank), Botryosphaeriales (order), Botryosphaeriaceae (family), Diplodia (genus)					Peptidase S54 family		A0A0G2DUY9;		
A8YWA8	A8YWA8	unreviewed	A8YWA8_LACH4	Membrane protein	lhv_1567	Lactobacillus helveticus (strain DPC 4571)	226	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Lactobacillales (order), Lactobacillaceae (family), Lactobacillus (genus), Lactobacillus helveticus (species)						WP_012212104.1;	A8YWA8;		
D2PQI3	D2PQI3	unreviewed	D2PQI3_KRIFD	Rhomboid family protein	Kfla_0040	Kribbella flavida (strain DSM 17836 / JCM 10339 / NBRC 14399)	246	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Propionibacteriales (order), Kribbellaceae (family), Kribbella (genus), Kribbella flavida (species)					Peptidase S54 family	WP_012917727.1;	D2PQI3;		
B1XZU4	B1XZU4	unreviewed	B1XZU4_LEPCP	Rhomboid family protein	Lcho_0665	Leptothrix cholodnii (strain ATCC 51168 / LMG 8142 / SP-6) (Leptothrix discophora (strain SP-6))	200	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Burkholderiales (order), Sphaerotilaceae (family), Leptothrix (genus), Leptothrix cholodnii (species)						WP_012345702.1;	B1XZU4;		
A0A0G4EB91	A0A0G4EB91	unreviewed	A0A0G4EB91_VITBC	Peptidase S54 rhomboid domain-containing protein	Vbra_4699	Vitrella brassicaformis (strain CCMP3155)	324	cellular organisms (no rank), Eukaryota (superkingdom), Sar (clade), Alveolata (clade), Colpodellida (clade), Vitrellaceae (family), Vitrella (genus), Vitrella brassicaformis (species)					Peptidase S54 family		A0A0G4EB91;		
G0MEK4	G0MEK4	unreviewed	G0MEK4_CAEBE	CBN-ROM-1 protein	Cbn-rom-1 CAEBREN_19420	Caenorhabditis brenneri (Nematode worm)	356	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Chromadorea (class), Rhabditida (order), Rhabditina (suborder), Rhabditomorpha (infraorder), Rhabditoidea (superfamily), Rhabditidae (family), Peloderinae (subfamily), Caenorhabditis (genus)	"ACT_SITE 233; /note=""Nucleophile""; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50""; ACT_SITE 293; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50"""				Peptidase S54 family		G0MEK4;		
L0AKH0	L0AKH0	unreviewed	L0AKH0_NATGS	Membrane protein (Rhomboid family intramembrane serine protease) (Rhomboid family protein)	Natgr_3165 C490_15939 CYV19_00530	Natronobacterium gregoryi (strain ATCC 43098 / DSM 3393 / CCM 3738 / CIP 104747 / IAM 13177 / JCM 8860 / NBRC 102187 / NCIMB 2189 / SP2)	213	cellular organisms (no rank), Archaea (superkingdom), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Natrialbaceae (family), Natronobacterium (genus), Natronobacterium gregoryi (species)						WP_005580985.1;	L0AKH0;		
K6YBA9	K6YBA9	unreviewed	K6YBA9_9ALTE	GlpG protein	glpG GLIP_2851	Aliiglaciecola lipolytica E3	299	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Alteromonadales (order), Alteromonadaceae (family), Aliiglaciecola (genus), Aliiglaciecola lipolytica (species)					Peptidase S54 family	WP_008845277.1;	K6YBA9;		
F0YMN8	F0YMN8	unreviewed	F0YMN8_AURAN	Peptidase S54 rhomboid domain-containing protein	AURANDRAFT_16103	Aureococcus anophagefferens (Harmful bloom alga)	141	cellular organisms (no rank), Eukaryota (superkingdom), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Pelagophyceae (class), Pelagomonadales (order), Pelagomonadaceae (family), Aureococcus (genus)					Peptidase S54 family	XP_009041676.1;	F0YMN8;		
