Seq_ID,Protein_names,Protein_families,superkingdom,kingdom,phylum,class,order,family,genus,species,Uniprot_Entry,Gene_Names,Organism,Length,EC_number,RefSeq,AlphaFoldDB,PDB
F4KJF7_PORAD,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonasasaccharolytica,F4KJF7,Poras_0650,Porphyromonasasaccharolytica(strainATCC25260/DSM20707/BCRC10618/CCUG7834/JCM6326/LMG13178/VPI4198/B440)(Bacteroidesasaccharolyticus),239,,WP_004330745.1;,F4KJF7;,
D6X1D9_TRICA,Protein rhomboid-like Protein,Peptidase S54 family,Eukaryota,Metazoa,Hexapoda,Neoptera,Cucujiformia,Tenebrionidae,Tribolium,,D6X1D9,AUGUSTUS-3.0.2_11604TcasGA2_TC011604,Triboliumcastaneum(Redflourbeetle),276,,XP_008198534.1;,D6X1D9;,
J2LHG9_9BURK,Putative membrane protein,Peptidase S54 family,Bacteria,Bacteria,Pseudomonadota,unclassifiedPolaromonas,Burkholderiales,Comamonadaceae,Polaromonas,,J2LHG9,PMI15_02072,Polaromonassp.CF318,488,,WP_007867739.1;,J2LHG9;,
B9LRE0_HALLT,Rhomboid family protein,,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,Halorubrumlacusprofundi,B9LRE0,Hlac_0158,Halorubrumlacusprofundi(strainATCC49239/DSM5036/JCM8891/ACAM34),186,,WP_012659405.1;,B9LRE0;,
V3ZX17_LOTGI,Peptidase S54 rhomboid domain-containing protein,Peptidase S54 family,Eukaryota,Metazoa,Mollusca,Patellogastropoda,,Lottiidae,Lottia,,V3ZX17,LOTGIDRAFT_107360,Lottiagigantea(Giantowllimpet),358,,XP_009062119.1;,V3ZX17;,
Q5L7Q6_BACFN,Transmembrane rhomboid family protein,Peptidase S54 family,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroidesfragilis,Q5L7Q6,BF9343_4113,Bacteroidesfragilis(strainATCC25285/DSM2151/CCUG4856/JCM11019/LMG10263/NCTC9343/Onslow/VPI2553/EN-2),224,,WP_005791187.1;,Q5L7Q6;,
A0A024QFA4_9BACI,Rhomboid protease GluP,Peptidase S54 family,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Virgibacillus,,A0A024QFA4,gluP_2BN990_03260,Virgibacillusmassiliensis,257,,WP_021288594.1;,A0A024QFA4;,
W9EFW7_9LACO,GlpG protein (Membrane protein of glp regulon),Peptidase S54 family,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructilactobacillus,Fructilactobacillusflorum,W9EFW7,B808_938,Fructilactobacillusflorum8D,222,,WP_035422222.1;,W9EFW7;,
A0A086YMY9_9FIRM,Protease,,Bacteria,Bacillati,Bacillota,unclassifiedPeptococcaceae,Eubacteriales,Peptococcaceae,,,A0A086YMY9,DK28_0204580,PeptococcaceaebacteriumSCADC1_2_3,221,,,A0A086YMY9;,
R7DEX5_9BACT,,,,,,,,,,,R7DEX5,,,,,,,
A0A0F3K5A7_9GAMM,Membrane protein,Peptidase S54 family,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Luteibacter,,A0A0F3K5A7,VI08_18835,Luteibacteryeojuensis,217,,WP_045831177.1;,A0A0F3K5A7;,
A0A0G3GST8_9CORY,Putative membrane protein,Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,,A0A0G3GST8,CEPID_00130,Corynebacteriumepidermidicanis,232,,WP_047239250.1;,A0A0G3GST8;,
E6J6J4_9ACTN,,,,,,,,,,,E6J6J4,,,,,,,
R5W0X9_9FIRM,,,Bacteria,,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Coprococcus eutactus,R5W0X9,,,,,,,
Q3IPJ8_NATPD,,,,,,,,,,,Q3IPJ8,,,,,,,
R5CBR3_9BACE,,,,,,,,,,,R5CBR3,,,,,,,
J7LJ61_NOCAA,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsidaceae,Nocardiopsis,Nocardiopsisalba,J7LJ61,B005_1909,Nocardiopsisalba(strainATCCBAA-2165/BE74),256,,,J7LJ61;,
Q9XA09_STRCO,Membrane protein,Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomycescoelicolor,Q9XA09,SCO3855SCH69.25c,Streptomycescoelicolor(strainATCCBAA-471/A3(2)/M145),297,,NP_628043.1;WP_003975079.1;,Q9XA09;,
B9M642_GEODF,Rhomboid-related membrane protein,Peptidase S54 family,Bacteria,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geotalea,Geotaleadaltonii,B9M642,Geob_1665,Geotaleadaltonii(strainDSM22248/JCM15807/FRC-32)(Geobacterdaltonii),313,,WP_012646752.1;,B9M642;,
A0A0A2N0Q5_9FLAO,Protease,Peptidase S54 family,Bacteria,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacteriumenshiense,A0A0A2N0Q5,Q767_01320,FlavobacteriumenshienseDK69,249,,,A0A0A2N0Q5;,
K9R753_9CYAN,Putative membrane protein,Peptidase S54 family,Bacteria,Bacillati,Cyanobacteriota,unclassifiedRivularia,Nostocales,Rivulariaceae,Rivularia,,K9R753,Riv7116_0756,Rivulariasp.PCC7116,248,,,K9R753;,
R5AW83_9BACT,Peptidase S54 rhomboid domain-containing protein,Peptidase S54 family,Bacteria,Bacteria,Bacteroidota,unclassifiedPrevotella,Bacteroidales,Prevotellaceae,Prevotella,,R5AW83,BN456_01779,Prevotellasp.CAG:1031,250,,,R5AW83;,
R2SXX9_9ENTE,Small hydrophobic molecule transporter,Peptidase S54 family,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcushaemoperoxidus,R2SXX9,UAW_00287,EnterococcushaemoperoxidusATCCBAA-382,236,,WP_010760499.1;,R2SXX9;,
A0A099T491_9RHOB,Peptidase S54 rhomboid domain-containing protein,,Bacteria,Bacteria,Pseudomonadota,unclassifiedThalassobacter,Rhodobacterales,Roseobacteraceae,Thalassobacter,,A0A099T491,PM04_17025,Thalassobactersp.16PALIMAR09,249,,,A0A099T491;,
Q2IPS7_ANADE,Rhomboid-like protein,,Bacteria,Bacteria,Myxococcota,Myxococcia,Cystobacterineae,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacterdehalogenans,Q2IPS7,Adeh_1033,Anaeromyxobacterdehalogenans(strain2CP-C),198,,WP_011420091.1;,Q2IPS7;,
D7CJX5_SYNLT,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Syntrophomonadaceae,Syntrophothermus,Syntrophothermuslipocalidus,D7CJX5,Slip_0303,Syntrophothermuslipocalidus(strainDSM12680/TGB-C1),213,,WP_013174491.1;,D7CJX5;,
F6AK84_PSEF1,"Peptidase S54, rhomboid domain protein",,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonasfulva,F6AK84,Psefu_1825,Pseudomonasfulva(strain12-X),289,,WP_013790929.1;,F6AK84;,
R5W908_9FIRM,,,Bacteria,,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Coprobacillus,Coprobacillus,R5W908,,,,,,,
A0A0A7FZ81_9CLOT,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridiumbaratii,A0A0A7FZ81,U729_109,Clostridiumbaratiistr.Sullivan,323,,WP_039310715.1;,A0A0A7FZ81;,
Q0RNE5_FRAAA,Putative integral membrane protein (Partial),Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Frankia,Frankiaalni,Q0RNE5,FRAAL2295,Frankiaalni(strainDSM45986/CECT9034/ACN14a),289,,WP_011603459.1;,Q0RNE5;,
E0TFK9_PARBH,Peptidase S54 rhomboid domain-containing protein,Peptidase S54 family,Bacteria,Bacteria,Pseudomonadota,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularcula,Parvularculabermudensis,E0TFK9,PB2503_12659,Parvularculabermudensis(strainATCCBAA-594/HTCC2503/KCTC12087),240,,WP_013301543.1;,E0TFK9;,
F0Z2G1_9CLOT,Putative small hydrophobic molecule transporter protein,Peptidase S54 family,Bacteria,Bacillati,Bacillota,unclassifiedClostridium,Eubacteriales,Clostridiaceae,Clostridium,,F0Z2G1,HMPREF0240_03287,Clostridiumsp.D5,223,,,F0Z2G1;,
A4F5R4_SACEN,Rhomboid-like protein,Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,Saccharopolysporaerythraea,A4F5R4,SACE_0035,Saccharopolysporaerythraea(strainATCC11635/DSM40517/JCM4748/NBRC13426/NCIMB8594/NRRL2338),259,,,A4F5R4;,
D8UHN4_VOLCA,Peptidase S54 rhomboid domain-containing protein,Peptidase S54 family,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,Volvox,Volvoxcarteri,D8UHN4,VOLCADRAFT_99376,Volvoxcarterif.nagariensis,373,,XP_002958174.1;,D8UHN4;,
R7M5Y3_9CLOT,,,,,,,,,,,R7M5Y3,,,,,,,
F6DTZ5_DESRL,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Desulforamulus,Desulforamulusruminis,F6DTZ5,Desru_0730,Desulforamulusruminis(strainATCC23193/DSM2154/NCIMB8452/DL)(Desulfotomaculumruminis),212,,,F6DTZ5;,
D1CHH6_THET1,Rhomboid family protein,,Bacteria,Bacillati,Chloroflexota,,,,Thermobaculum,Thermobaculumterrenum,D1CHH6,Tter_2298,Thermobaculumterrenum(strainATCCBAA-798/CCMEE7001/YNP1),230,,,D1CHH6;,
D8U0P0_VOLCA,Peptidase S54 rhomboid domain-containing protein,Peptidase S54 family,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,Volvox,Volvoxcarteri,D8U0P0,VOLCADRAFT_105418,Volvoxcarterif.nagariensis,399,,XP_002952281.1;,D8U0P0;,
G4H967_9BACL,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacilluslactis,G4H967,PaelaDRAFT_0528,Paenibacilluslactis154,204,,WP_007127704.1;,G4H967;,
S0K662_9ENTE,,,,,,,,,,,S0K662,,,,,,,
L7WDX0_NONDD,Putative transmembrane rhomboid family protein,Peptidase S54 family,Bacteria,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,Nonlabensdokdonensis,L7WDX0,DDD_3009,Nonlabensdokdonensis(strainDSM17205/KCTC12402/DSW-6)(Donghaeanadokdonensis),211,,WP_015363632.1;,L7WDX0;,
E7NSM1_TREPH,,,,,,,,,,,E7NSM1,,,,,,,
Q6LHW3_PHOPR,Hypothetical rhomboid family protein,,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacteriumprofundum,Q6LHW3,SEN0012PBPRB1245,Photobacteriumprofundum(strainSS9),185,,,Q6LHW3;,
Q2ILN8_ANADE,Rhomboid-like protein,Peptidase S54 family,Bacteria,Bacteria,Myxococcota,Myxococcia,Cystobacterineae,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacterdehalogenans,Q2ILN8,Adeh_2794,Anaeromyxobacterdehalogenans(strain2CP-C),360,,WP_011421846.1;,Q2ILN8;,
D7B8W6_NOCDD,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsidaceae,Nocardiopsis,Nocardiopsisdassonvilleisubsp.dassonvillei,D7B8W6,Ndas_5244,Nocardiopsisdassonvillei(strainATCC23218/DSM43111/CIP107115/JCM7437/KCTC9190/NBRC14626/NCTC10488/NRRLB-5397/IMRU509)(Actinomaduradassonvillei),306,,,D7B8W6;,
K0PWP6_9HYPH,Putative rhombiod family transmembrane protein,,Bacteria,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobiummesoamericanum,K0PWP6,BN77_2899,RhizobiummesoamericanumSTM3625,255,,WP_007532752.1;,K0PWP6;,
I7L651_9LACO,Peptidase S54 rhomboid domain-containing protein,Peptidase S54 family,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillushominis,I7L651,BN55_00470,LactobacillushominisDSM23910=CRBIP24.179,227,,WP_008470712.1;,I7L651;,
I4VQQ3_9GAMM,Peptidase S54 rhomboid domain-containing protein,,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Rhodanobacter,Rhodanobacterfulvus,I4VQQ3,UU9_08972,RhodanobacterfulvusJip2,202,,,I4VQQ3;,
A0A0D6JJ20_9HYPH,Rhomboid family protein,,Bacteria,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Filomicrobium,,A0A0D6JJ20,YBN1229_v1_3083,CandidatusFilomicrobiummarinum,242,,WP_046478615.1;,A0A0D6JJ20;,
A0A0A7LLQ2_9BACT,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacteria,Bacteroidota,unclassifiedHymenobacter,Cytophagales,Hymenobacteraceae,Hymenobacter,,A0A0A7LLQ2,PK28_05910,Hymenobactersp.DG25B,299,,WP_044512374.1;,A0A0A7LLQ2;,
A0A0G2DUY9_9PEZI,Putative phosphatidylinositol phospholipase c,Peptidase S54 family,Eukaryota,Dikarya,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Diplodia,,A0A0G2DUY9,UCDDS831_g07943,Diplodiaseriata,260,,,A0A0G2DUY9;,
A8YWA8_LACH4,Membrane protein,,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillushelveticus,A8YWA8,lhv_1567,Lactobacillushelveticus(strainDPC4571),226,,WP_012212104.1;,A8YWA8;,
D2PQI3_KRIFD,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Kribbellaceae,Kribbella,Kribbellaflavida,D2PQI3,Kfla_0040,Kribbellaflavida(strainDSM17836/JCM10339/NBRC14399),246,,WP_012917727.1;,D2PQI3;,
B1XZU4_LEPCP,Rhomboid family protein,,Bacteria,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Leptothrix,Leptothrixcholodnii,B1XZU4,Lcho_0665,Leptothrixcholodnii(strainATCC51168/LMG8142/SP-6)(Leptothrixdiscophora(strainSP-6)),200,,WP_012345702.1;,B1XZU4;,
A0A0G4EB91_VITBC,Peptidase S54 rhomboid domain-containing protein,Peptidase S54 family,Eukaryota,Eukaryota,,,,Vitrellaceae,Vitrella,Vitrellabrassicaformis,A0A0G4EB91,Vbra_4699,Vitrellabrassicaformis(strainCCMP3155),324,,,A0A0G4EB91;,
G0MEK4_CAEBE,CBN-ROM-1 protein,Peptidase S54 family,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditomorpha,Peloderinae,Caenorhabditis,,G0MEK4,Cbn-rom-1CAEBREN_19420,Caenorhabditisbrenneri(Nematodeworm),356,,,G0MEK4;,
L0AKH0_NATGS,Membrane protein (Rhomboid family intramembrane serine protease) (Rhomboid family protein),,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natronobacterium,Natronobacteriumgregoryi,L0AKH0,Natgr_3165C490_15939CYV19_00530,Natronobacteriumgregoryi(strainATCC43098/DSM3393/CCM3738/CIP104747/IAM13177/JCM8860/NBRC102187/NCIMB2189/SP2),213,,WP_005580985.1;,L0AKH0;,
K6YBA9_9ALTE,GlpG protein,Peptidase S54 family,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aliiglaciecola,Aliiglaciecolalipolytica,K6YBA9,glpGGLIP_2851,AliiglaciecolalipolyticaE3,299,,WP_008845277.1;,K6YBA9;,
F0YMN8_AURAN,Peptidase S54 rhomboid domain-containing protein,Peptidase S54 family,Eukaryota,Eukaryota,,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Aureococcus,,F0YMN8,AURANDRAFT_16103,Aureococcusanophagefferens(Harmfulbloomalga),141,,XP_009041676.1;,F0YMN8;,
D8RPT3_SELML,RHOMBOID-like protein (EC 3.4.21.105),Peptidase S54 family,Eukaryota,Viridiplantae,Streptophytina,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,,D8RPT3,SELMODRAFT_98870,Selaginellamoellendorffii(Spikemoss),286,3.4.21.105,XP_002973164.1;,D8RPT3;,
R5A1G2_9CLOT,,,,,,,,,,,R5A1G2,,,,,,,
E5SG22_TRISP,,,,,,,,,,,E5SG22,,,,,,,
F9ED49_9ACTO,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,unclassifiedActinomyces,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomycessp.oraltaxon448,F9ED49,HMPREF9062_0371,Actinomycessp.oraltaxon448str.F0400,280,,WP_009748274.1;,F9ED49;,
D4IXD7_BUTFI,,,,,,,,,,,D4IXD7,,,,,,,
A0A075JTP6_9BACI,Peptidase S54 rhomboid domain-containing protein,Peptidase S54 family,Bacteria,Bacillati,Bacillota,unclassifiedVirgibacillus,Bacillales,Bacillaceae,Virgibacillus,,A0A075JTP6,X953_09860,Virgibacillussp.SK37,514,,WP_040955314.1;,A0A075JTP6;,
R6C542_9CLOT,Peptidase S54 rhomboid domain-containing protein,Peptidase S54 family,Bacteria,Bacillati,Bacillota,unclassifiedClostridium,Eubacteriales,Clostridiaceae,Clostridium,,R6C542,BN687_00259,Clostridiumsp.CAG:510,201,,,R6C542;,
L1J379_GUITC,Peptidase S54 rhomboid domain-containing protein,Peptidase S54 family,Eukaryota,Eukaryota,,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Guillardia,Guillardiatheta,L1J379,GUITHDRAFT_88083,Guillardiatheta(strainCCMP2712)(Cryptophyte),241,,XP_005829530.1;,L1J379;,
D1C4P5_SPHTD,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacteria,Thermomicrobiota,Thermomicrobia,Sphaerobacterineae,Sphaerobacteraceae,Sphaerobacter,Sphaerobacterthermophilus,D1C4P5,Sthe_1778,Sphaerobacterthermophilus(strainATCC49802/DSM20745/KCCM41009/NCIMB13125/S6022),245,,WP_012872258.1;,D1C4P5;,
B9D570_CAMRE,"Peptidase, S54 family (EC 3.4.21.-)",,Bacteria,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacterrectus,B9D570,CAMRE0001_1073,CampylobacterrectusRM3267,177,3.4.21.-,WP_004320688.1;,B9D570;,
A4J8K1_DESRM,Rhomboid family protein,,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Desulforamulus,Desulforamulusreducens,A4J8K1,Dred_2900,Desulforamulusreducens(strainATCCBAA-1160/DSM100696/MI-1)(Desulfotomaculumreducens),215,,WP_011879197.1;,A4J8K1;,
E2CFZ2_9HYPH,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacteria,Pseudomonadota,unclassifiedRoseibium,Hyphomicrobiales,Stappiaceae,Roseibium,,E2CFZ2,TRICHSKD4_2129,Roseibiumsp.TrichSKD4,226,,WP_009467269.1;,E2CFZ2;,
U5L4T8_9BACI,Membrane protein,Peptidase S54 family,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillusinfantis,U5L4T8,N288_01495,BacillusinfantisNRRLB-14911,196,,WP_009795780.1;,U5L4T8;,
U1NP07_ASCSU,,,,,,,,,,,U1NP07,,,,,,,
R6Y7K7_9CLOT,,,,,,,,,,,R6Y7K7,,,,,,,
A4C7C4_9GAMM,Putative GlpG protein,Peptidase S54 family,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonastunicata,A4C7C4,PTD2_13699,PseudoalteromonastunicataD2,271,,WP_009837751.1;,A4C7C4;,
E0VJ88_PEDHC,Rhomboid-like protein,Peptidase S54 family,Eukaryota,Metazoa,Hexapoda,Neoptera,Anoplura,Pediculidae,Pediculus,Pediculushumanus,E0VJ88,8230716Phum_PHUM240580,Pediculushumanussubsp.corporis(Bodylouse),367,,XP_002426182.1;,E0VJ88;,
R2PXD7_9ENTE,Peptidase S54 rhomboid domain-containing protein,Peptidase S54 family,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcusasini,R2PXD7,UAS_00671,EnterococcusasiniATCC700915,232,,WP_010753322.1;,R2PXD7;,
I0DTP6_PROSM,,,,,,,,,,,I0DTP6,,,,,,,
Q04FD6_OENOB,Membrane-associated serine protease,Peptidase S54 family,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcusoeni,Q04FD6,OEOE_0919,Oenococcusoeni(strainATCCBAA-331/PSU-1),236,,,Q04FD6;,
F9Q9F3_9PAST,"Peptidase, S54 family (EC 3.4.21.-)",Peptidase S54 family,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophiluspittmaniae,F9Q9F3,HMPREF9952_0656,HaemophiluspittmaniaeHK85,280,3.4.21.-,,F9Q9F3;,
E1STE3_FERBD,Rhomboid family protein,,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,Ferrimonas,Ferrimonasbalearica,E1STE3,Fbal_2975,Ferrimonasbalearica(strainDSM9799/CCM4581/KCTC23876/PAT),348,,,E1STE3;,
D4YSE3_9LACO,"Peptidase, S54 family (EC 3.4.21.-)",Peptidase S54 family,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillusamylolyticus,D4YSE3,HMPREF0493_0421,LactobacillusamylolyticusDSM11664,226,3.4.21.-,WP_006351575.1;,D4YSE3;,
A3QJD0_SHELP,Rhomboid family protein,,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanellaloihica,A3QJD0,Shew_3712,Shewanellaloihica(strainATCCBAA-1088/PV-4),278,,WP_011867506.1;,A3QJD0;,
D3SYA7_NATMM,Rhomboid family protein,,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrialba,Natrialbamagadii,D3SYA7,Nmag_2518C500_07803,Natrialbamagadii(strainATCC43099/DSM3394/CCM3739/CIP104546/IAM13178/JCM8861/NBRC102185/NCIMB2190/MS3)(Natronobacteriummagadii),225,,WP_004215302.1;,D3SYA7;,
A1R0T5_PAEAT,Putative rhomboid family membrane protein,Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Paenarthrobacter,Paenarthrobacteraurescens,A1R0T5,AAur_0017,Paenarthrobacteraurescens(strainTC1),284,,,A1R0T5;,
I3BWD9_THINJ,,,,,,,,,,,I3BWD9,,,,,,,
A0A0B2X439_METAS,Rhomboid family protein,Peptidase S54 family,Eukaryota,Dikarya,Pezizomycotina,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Metarhizium,Metarhiziumalbum,A0A0B2X439,MAM_01999,Metarhiziumalbum(strainARSEF1941),533,,,A0A0B2X439;,
R5QV23_9FIRM,,,Bacteria,,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,,,R5QV23,,,,,,,
