From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A174CYC2	A0A174CYC2		A0A174CYC2_SARVE	deleted			
A0A177UG90	A0A177UG90		A0A177UG90_9BASI	deleted			
A0A183VM97	A0A183VM97		A0A183VM97_TRIRE	deleted			
A0A1A5XP82	A0A1A5XP82		A0A1A5XP82_9BACL	deleted			
A0A1C2FY77	A0A1C2FY77		A0A1C2FY77_9GAMM	deleted			
A0A1G7L3R0	A0A1G7L3R0		A0A1G7L3R0_9PROT	deleted			
A0A1K1UJT5	A0A1K1UJT5		A0A1K1UJT5_9BACL	deleted			
A0A1L8GQS3	A0A1L8GQS3		A0A1L8GQS3_XENLA	deleted			
A0A1Q9J075	A0A1Q9J075		A0A1Q9J075_9FIRM	deleted			
A0A1Q9UIH7	A0A1Q9UIH7		A0A1Q9UIH7_9NOCA	deleted			
A0A1R4GLE1	A0A1R4GLE1		A0A1R4GLE1_9MICO	deleted			
A0A1S8FYH9	A0A1S8FYH9		A0A1S8FYH9_9BURK	deleted			
A0A1S8VU78	A0A1S8VU78		A0A1S8VU78_9FUNG	deleted			
A0A1X7MCN3	A0A1X7MCN3		A0A1X7MCN3_9GAMM	deleted			
A0A1Y3LW72	A0A1Y3LW72		A0A1Y3LW72_9MICC	deleted			
A0A1Y4MBS8	A0A1Y4MBS8		A0A1Y4MBS8_9FIRM	deleted			
A0A226PSH5	A0A226PSH5		A0A226PSH5_COLVI	deleted			
A0A226PTB0	A0A226PTB0		A0A226PTB0_COLVI	deleted			
A0A244C3M2	A0A244C3M2		A0A244C3M2_9BACT	deleted			
A0A249DEG8	A0A249DEG8		A0A249DEG8_LACRH	deleted			
A0A257DHY6	A0A257DHY6		A0A257DHY6_9SPHN	deleted			
A0A268IJ79	A0A268IJ79		A0A268IJ79_9BACI	deleted			
A0A2A3UBK8	A0A2A3UBK8		A0A2A3UBK8_9SPHI	deleted			
A0A2C9U0M5	A0A2C9U0M5		A0A2C9U0M5_MANES	deleted			
A0A2D3R7X2	A0A2D3R7X2		A0A2D3R7X2_9GAMM	deleted			
A0A2G1PKS3	A0A2G1PKS3		A0A2G1PKS3_9ACTO	deleted			
A0A2H2I9X3	A0A2H2I9X3		A0A2H2I9X3_CAEJA	deleted			
A0A2H5XIX7	A0A2H5XIX7		A0A2H5XIX7_UNCXX	deleted			
A0A2I1JA45	A0A2I1JA45		A0A2I1JA45_9MICC	deleted			
A0A2J6L153	A0A2J6L153		A0A2J6L153_LACSA	deleted			
A0A2J6LLP8	A0A2J6LLP8		A0A2J6LLP8_LACSA	deleted			
A0A2J6MJ16	A0A2J6MJ16		A0A2J6MJ16_LACSA	deleted			
A0A2J6NH65	A0A2J6NH65		A0A2J6NH65_9STAP	deleted			
A0A2J6NIN2	A0A2J6NIN2		A0A2J6NIN2_9STAP	deleted			
A0A2N6UM65	A0A2N6UM65		A0A2N6UM65_9ACTO	deleted			
A0A2N6UYL9	A0A2N6UYL9		A0A2N6UYL9_9ACTO	deleted			
A0A2P2F8B8	A0A2P2F8B8		A0A2P2F8B8_9FIRM	deleted			
A0A2P2FD96	A0A2P2FD96		A0A2P2FD96_9FIRM	deleted			
A0A2P2FDB7	A0A2P2FDB7		A0A2P2FDB7_9FIRM	deleted			
A0A2P6UXP1	A0A2P6UXP1		A0A2P6UXP1_9BURK	deleted			
A0A2P8EM92	A0A2P8EM92		A0A2P8EM92_9FUSO	deleted			
A0A2P8XPF8	A0A2P8XPF8		A0A2P8XPF8_BLAGE	deleted			
A0A2S6VPE7	A0A2S6VPE7		A0A2S6VPE7_9GAMM	deleted			
A0A2T5R489	A0A2T5R489		A0A2T5R489_9DELT	deleted			
A0A2U2CUR8	A0A2U2CUR8		A0A2U2CUR8_9RHOB	deleted			
A0A2V1HGB4	A0A2V1HGB4		A0A2V1HGB4_9GAMM	deleted			
A0A2V1HHW8	A0A2V1HHW8		A0A2V1HHW8_9GAMM	deleted			
A0A2W1Z3S5	A0A2W1Z3S5		A0A2W1Z3S5_9MICO	deleted			
A0A2X0U7G0	A0A2X0U7G0		A0A2X0U7G0_9ACTO	deleted			
A0A2Z3MYQ4	A0A2Z3MYQ4		A0A2Z3MYQ4_9BACT	deleted			
A0A2Z4PE66	A0A2Z4PE66		A0A2Z4PE66_9RHOB	deleted			
A0A318ASW3	A0A318ASW3		A0A318ASW3_9NOSO	deleted			
A0A318B2B7	A0A318B2B7		A0A318B2B7_9NOSO	deleted			
A0A318BLN0	A0A318BLN0		A0A318BLN0_9NOSO	deleted			
A0A328ZZ13	A0A328ZZ13		A0A328ZZ13_9PROT	deleted			
A0A368WG82	A0A368WG82		A0A368WG82_9BURK	deleted			
A0A372SPI6	A0A372SPI6		A0A372SPI6_9FIRM	deleted			
A0A372SSH0	A0A372SSH0		A0A372SSH0_9FIRM	deleted			
A0A373ADI6	A0A373ADI6		A0A373ADI6_9FIRM	deleted			
A0A374X5F4	A0A374X5F4		A0A374X5F4_9FIRM	deleted			
A0A374X7G4	A0A374X7G4		A0A374X7G4_9FIRM	deleted			
A0A378E9W3	A0A378E9W3		A0A378E9W3_KLEPR	deleted			
A0A386DZL4	A0A386DZL4		A0A386DZL4_9HYPH	deleted			
A0A396KTM6	A0A396KTM6		A0A396KTM6_9FIRM	deleted			
A0A399VFG3	A0A399VFG3		A0A399VFG3_9ACTN	deleted			
A0A3A9JAB8	A0A3A9JAB8		A0A3A9JAB8_9FIRM	deleted			
A0A3M7KGJ5	A0A3M7KGJ5		A0A3M7KGJ5_9BACT	deleted			
A0A3N6QIT0	A0A3N6QIT0		A0A3N6QIT0_BRACR	deleted			
A0A3N9QPS8	A0A3N9QPS8		A0A3N9QPS8_9RHOB	deleted			
A0A3P1VQ68	A0A3P1VQ68		A0A3P1VQ68_9MICO	deleted			
A0A3P1XE70	A0A3P1XE70		A0A3P1XE70_9BURK	deleted			
A0A3P4MF68	A0A3P4MF68		A0A3P4MF68_GULGU	deleted			
A0A3S4XWE2	A0A3S4XWE2		A0A3S4XWE2_ACTEU	deleted			
A0A3S9H0S4	A0A3S9H0S4		A0A3S9H0S4_9FIRM	deleted			
A0A3T1DMP4	A0A3T1DMP4		A0A3T1DMP4_9GAMM	deleted			
A0A402ECV1	A0A402ECV1		A0A402ECV1_9SAUR	deleted			
A0A417N974	A0A417N974		A0A417N974_9FIRM	deleted			
A0A419MXG4	A0A419MXG4		A0A419MXG4_9SPHN	deleted			
A0A439F3M5	A0A439F3M5		A0A439F3M5_9BURK	deleted			
A0A444G575	A0A444G575		A0A444G575_ENSVE	deleted			
A0A444SCN1	A0A444SCN1		A0A444SCN1_ARMVU	deleted			
A0A447MAA7	A0A447MAA7		A0A447MAA7_SALBN	deleted			
A0A448FHQ5	A0A448FHQ5		A0A448FHQ5_9BACI	deleted			
A0A448QT04	A0A448QT04		A0A448QT04_ACTEU	deleted			
A0A448QT80	A0A448QT80		A0A448QT80_ACTEU	deleted			
A0A455V481	A0A455V481		A0A455V481_9GAMM	deleted			
A0A481QKV3	A0A481QKV3		A0A481QKV3_9PSED	deleted			
A0A495DHN0	A0A495DHN0		A0A495DHN0_9ALTE	deleted			
A0A495RNS4	A0A495RNS4		A0A495RNS4_SPHMI	deleted			
A0A4D8ZNA8	A0A4D8ZNA8		A0A4D8ZNA8_SALSN	deleted			
A0A4D9C275	A0A4D9C275		A0A4D9C275_SALSN	deleted			
A0A4Q0J9T5	A0A4Q0J9T5		A0A4Q0J9T5_9BACT	deleted			
A0A4Q1B6R7	A0A4Q1B6R7		A0A4Q1B6R7_9GAMM	deleted			
A0A4Q2ZR61	A0A4Q2ZR61		A0A4Q2ZR61_9SPHI	deleted			
A0A4Q3LQP2	A0A4Q3LQP2		A0A4Q3LQP2_9FLAO	deleted			
A0A4Q3MEY5	A0A4Q3MEY5		A0A4Q3MEY5_UNCCH	deleted			
A0A4Q5L4W5	A0A4Q5L4W5		A0A4Q5L4W5_9GAMM	deleted			
A0A4Q5M6Z8	A0A4Q5M6Z8		A0A4Q5M6Z8_9GAMM	deleted			
A0A4Q5Z8C6	A0A4Q5Z8C6		A0A4Q5Z8C6_9ACTN	deleted			
A0A4Q8RVQ3	A0A4Q8RVQ3		A0A4Q8RVQ3_9BACT	deleted			
A0A4R1AC59	A0A4R1AC59		A0A4R1AC59_9FLAO	deleted			
A0A4R6N4K7	A0A4R6N4K7		A0A4R6N4K7_9BACL	deleted			
A0A4R7LC03	A0A4R7LC03		A0A4R7LC03_9FUSO	deleted			
A0A4S5AG55	A0A4S5AG55		A0A4S5AG55_ECOLI	deleted			
A0A4T2ATI3	A0A4T2ATI3		A0A4T2ATI3_9RHOB	deleted			
A0A4U9JS06	A0A4U9JS06		A0A4U9JS06_9SPHI	deleted			
A0A4V1WB77	A0A4V1WB77		A0A4V1WB77_9BACL	deleted			
A0A4V2ZQ57	A0A4V2ZQ57		A0A4V2ZQ57_9BACT	deleted			
A0A4V6X192	A0A4V6X192		A0A4V6X192_9BACT	deleted			
A0A4X3NZX9	A0A4X3NZX9		A0A4X3NZX9_PRIPA	deleted			
A0A4Y9FL87	A0A4Y9FL87		A0A4Y9FL87_9STRE	deleted			
A0A4Y9HHH9	A0A4Y9HHH9		A0A4Y9HHH9_9BACL	deleted			
A0A504FM13	A0A504FM13		A0A504FM13_9RHIZ	deleted			
A0A509E0J0	A0A509E0J0		A0A509E0J0_9HYPH	deleted			
A0A519IV22	A0A519IV22		A0A519IV22_9GAMM	deleted			
A0A519JAV6	A0A519JAV6		A0A519JAV6_9GAMM	deleted			
A0A519JNN5	A0A519JNN5		A0A519JNN5_9GAMM	deleted			
A0A519XW49	A0A519XW49		A0A519XW49_9HYPH	deleted			
A0A520FC36	A0A520FC36		A0A520FC36_SPHSX	deleted			
A0A533R680	A0A533R680		A0A533R680_9MOLU	deleted			
A0A544ZSE0	A0A544ZSE0		A0A544ZSE0_9PEZI	deleted			
A0A544ZXV8	A0A544ZXV8		A0A544ZXV8_9PEZI	deleted			
A0A550KID9	A0A550KID9		A0A550KID9_9PROT	deleted			
A0A5K4F725	A0A5K4F725		A0A5K4F725_SCHMA	deleted			
A0A5R9QSL0	A0A5R9QSL0		A0A5R9QSL0_9BACT	deleted			
A0A5S3PW15	A0A5S3PW15		A0A5S3PW15_9GAMM	deleted			
A0A5S9QFD3	A0A5S9QFD3		A0A5S9QFD3_9GAMM	deleted			
A0A653JB08	A0A653JB08		A0A653JB08_9BURK	deleted			
A0A654HE89	A0A654HE89		A0A654HE89_9CEST	deleted			
A0A656YE77	A0A656YE77		A0A656YE77_SALNE	deleted			
A0A658JM00	A0A658JM00		A0A658JM00_9CLOT	deleted			
A0A6A4J7S2	A0A6A4J7S2		A0A6A4J7S2_APOLU	deleted			
A0A6B3PRM1	A0A6B3PRM1		A0A6B3PRM1_9BACT	deleted			
A0A6B5PJD7	A0A6B5PJD7		A0A6B5PJD7_9FLAO	deleted			
A0A6D2WZP0	A0A6D2WZP0		A0A6D2WZP0_ECOLI	deleted			
A0A6H0X7N4	A0A6H0X7N4		A0A6H0X7N4_9CAUD	deleted			
A0A6I3RCB7	A0A6I3RCB7		A0A6I3RCB7_9FIRM	deleted			
A0A6L5CU14	A0A6L5CU14		A0A6L5CU14_9INSE	deleted			
A0A6L6H9J8	A0A6L6H9J8		A0A6L6H9J8_9GAMM	deleted			
A0A6L6HER8	A0A6L6HER8		A0A6L6HER8_9GAMM	deleted			
A0A6M1ULL5	A0A6M1ULL5		A0A6M1ULL5_9BACT	deleted			
A0A6M5XMH4	A0A6M5XMH4		A0A6M5XMH4_9BURK	deleted			
A0A6N0NRU1	A0A6N0NRU1		A0A6N0NRU1_9EURY	deleted			
A0A6N6QEP1	A0A6N6QEP1		A0A6N6QEP1_9RHIZ	deleted			
A0A6P1ASJ9	A0A6P1ASJ9		A0A6P1ASJ9_9BACT	deleted			
A0A7E4S478	A0A7E4S478		A0A7E4S478_CIMLE	deleted			
A0A7E4S801	A0A7E4S801		A0A7E4S801_CIMLE	deleted			
A0A7J0AZT2	A0A7J0AZT2		A0A7J0AZT2_9BACT	deleted			
A0A7J6JT35	A0A7J6JT35		A0A7J6JT35_9INSE	deleted			
A0A7J6YL18	A0A7J6YL18		A0A7J6YL18_9COLE	deleted			
A0A7J6YN26	A0A7J6YN26		A0A7J6YN26_9COLE	deleted			
A0A7J6YR63	A0A7J6YR63		A0A7J6YR63_9COLE	deleted			
A0A7J7B7V1	A0A7J7B7V1		A0A7J7B7V1_9COLE	deleted			
A0A7M1SCU3	A0A7M1SCU3		A0A7M1SCU3_9BACI	deleted			
A0A7U8YB29	A0A7U8YB29		A0A7U8YB29_MYCTX	deleted			
A0A7W3WEL8	A0A7W3WEL8		A0A7W3WEL8_9HYPH	deleted			
A0A7X6JT28	A0A7X6JT28		A0A7X6JT28_9RHOB	deleted			
A0A7X6K3K2	A0A7X6K3K2		A0A7X6K3K2_9MICC	deleted			
A0A7X9TZD9	A0A7X9TZD9		A0A7X9TZD9_9BURK	deleted			
A0A7Y1SEF1	A0A7Y1SEF1		A0A7Y1SEF1_9GAMM	deleted			
A0A7Y3WBZ3	A0A7Y3WBZ3		A0A7Y3WBZ3_9SPHI	deleted			
A0A7Z0XXH1	A0A7Z0XXH1		A0A7Z0XXH1_9RHOB	deleted			
A2BGQ1	A2BGQ1		A2BGQ1_DANRE	deleted			
B0UDD2	B0UDD2		B0UDD2_METS4	deleted			
B0UL41	B0UL41		B0UL41_METS4	deleted			
B7XJG7	B7XJG7		B7XJG7_ENTBH	deleted			
C0AT60	C0AT60		C0AT60_9GAMM	deleted			
C0BFU4	C0BFU4		C0BFU4_FLABM	deleted			
C3WA87	C3WA87		C3WA87_FUSMR	deleted			
C6CYL9	C6CYL9		C6CYL9_PAESJ	deleted			
D4S4K2	D4S4K2		D4S4K2_9FIRM	deleted			
D4YDX3	D4YDX3		D4YDX3_AERVM	deleted			
D5V858	D5V858		D5V858_MORCB	deleted			
E7NUU1	E7NUU1		E7NUU1_TREPH	deleted			
F1QRU7	F1QRU7		F1QRU7_DANRE	deleted			
F8HYM5	F8HYM5		F8HYM5_WEIKK	deleted			
F9VJC3	F9VJC3		F9VJC3_ARTSS	deleted			
G2MKB1	G2MKB1		G2MKB1_9EURY	deleted			
G4E884	G4E884		G4E884_9GAMM	deleted			
G4KXV7	G4KXV7		G4KXV7_OSCVS	deleted			
G4L8P5	G4L8P5		G4L8P5_TETHN	deleted			
G6EMZ4	G6EMZ4		G6EMZ4_STRTR	deleted			
H1HRJ0	H1HRJ0		H1HRJ0_9FIRM	deleted			
H3EJE5	H3EJE5		H3EJE5_PRIPA	deleted			
H3FEX9	H3FEX9		H3FEX9_PRIPA	deleted			
I2JXS5	I2JXS5		I2JXS5_DEKBR	deleted			
I6X776	I6X776		I6X776_ARAPF	deleted			
J5KEN8	J5KEN8		J5KEN8_PASMD	deleted			
K7HWT7	K7HWT7		K7HWT7_CAEJA	deleted			
K7HWT8	K7HWT8		K7HWT8_CAEJA	deleted			
K7XXZ6	K7XXZ6		K7XXZ6_MESHY	deleted			
K7XZI2	K7XZI2		K7XZI2_MESHY	deleted			
K8Z3B1	K8Z3B1		K8Z3B1_NANGC	deleted			
M0S7X1	M0S7X1		M0S7X1_MUSAM	deleted			
Q15PF1	Q15PF1		Q15PF1_PSEA6	deleted			
R5A480	R5A480		R5A480_9CLOT	deleted			
R5AFS1	R5AFS1		R5AFS1_9FIRM	deleted			
R5ARJ5	R5ARJ5		R5ARJ5_9FIRM	deleted			
R5AXW7	R5AXW7		R5AXW7_9FIRM	deleted			
R5BQM6	R5BQM6		R5BQM6_9BACE	deleted			
R5BZI6	R5BZI6		R5BZI6_9FIRM	deleted			
R5D374	R5D374		R5D374_9FIRM	deleted			
R5G570	R5G570		R5G570_9FIRM	deleted			
R5GYF7	R5GYF7		R5GYF7_9FIRM	deleted			
R5H9G7	R5H9G7		R5H9G7_9FIRM	deleted			
R5HIX3	R5HIX3		R5HIX3_9FIRM	deleted			
R5J308	R5J308		R5J308_9CLOT	deleted			
R5J3B3	R5J3B3		R5J3B3_9CLOT	deleted			
R5JIC4	R5JIC4		R5JIC4_9FIRM	deleted			
R5JUD2	R5JUD2		R5JUD2_9CLOT	deleted			
R5N9Z7	R5N9Z7		R5N9Z7_9BACT	deleted			
R5NN50	R5NN50		R5NN50_9CLOT	deleted			
R5PNI8	R5PNI8		R5PNI8_9BACT	deleted			
R5QCU1	R5QCU1		R5QCU1_9CLOT	deleted			
R5RE09	R5RE09		R5RE09_9FIRM	deleted			
R5RL52	R5RL52		R5RL52_9CLOT	deleted			
R5SLE9	R5SLE9		R5SLE9_9CLOT	deleted			
R5SZZ6	R5SZZ6		R5SZZ6_9CLOT	deleted			
R5T096	R5T096		R5T096_9CLOT	deleted			
R5TIH5	R5TIH5		R5TIH5_9CLOT	deleted			
R5VDH2	R5VDH2		R5VDH2_9FIRM	deleted			
R5VIL9	R5VIL9		R5VIL9_9BACT	deleted			
R5VU76	R5VU76		R5VU76_9BACT	deleted			
R5X2E9	R5X2E9		R5X2E9_9BACT	deleted			
R5X2J6	R5X2J6		R5X2J6_9FIRM	deleted			
R5XDT5	R5XDT5		R5XDT5_9FIRM	deleted			
R5Y058	R5Y058		R5Y058_9PROT	deleted			
R5YBR9	R5YBR9		R5YBR9_9BACE	deleted			
R5YMT4	R5YMT4		R5YMT4_9FIRM	deleted			
R5YPT0	R5YPT0		R5YPT0_9FIRM	deleted			
R5Z2H8	R5Z2H8		R5Z2H8_9FIRM	deleted			
R5ZIC7	R5ZIC7		R5ZIC7_9FIRM	deleted			
R6B264	R6B264		R6B264_9FIRM	deleted			
R6BG40	R6BG40		R6BG40_9CLOT	deleted			
R6CXE2	R6CXE2		R6CXE2_9CLOT	deleted			
R6D087	R6D087		R6D087_9FIRM	deleted			
R6EV47	R6EV47		R6EV47_9FIRM	deleted			
R6F0T7	R6F0T7		R6F0T7_9FIRM	deleted			
R6GAN8	R6GAN8		R6GAN8_9FIRM	deleted			
R6GIF4	R6GIF4		R6GIF4_9FIRM	deleted			
R6H1E9	R6H1E9		R6H1E9_9CLOT	deleted			
R6H5S8	R6H5S8		R6H5S8_9FIRM	deleted			
R6IRS0	R6IRS0		R6IRS0_9PROT	deleted			
R6IXX1	R6IXX1		R6IXX1_9FIRM	deleted			
R6KMM1	R6KMM1		R6KMM1_9CLOT	deleted			
R6LTL9	R6LTL9		R6LTL9_9FIRM	deleted			
R6MWR0	R6MWR0		R6MWR0_9FIRM	deleted			
R6NBU8	R6NBU8		R6NBU8_9FIRM	deleted			
R6P6D2	R6P6D2		R6P6D2_9FIRM	deleted			
R6PIB1	R6PIB1		R6PIB1_9CLOT	deleted			
R6RI38	R6RI38		R6RI38_9FIRM	deleted			
R6RY90	R6RY90		R6RY90_9BACT	deleted			
R6RZH2	R6RZH2		R6RZH2_9CLOT	deleted			
R6TX07	R6TX07		R6TX07_9BACE	deleted			
R6UGA1	R6UGA1		R6UGA1_9STAP	deleted			
R6VLM7	R6VLM7		R6VLM7_9FIRM	deleted			
R6W8A1	R6W8A1		R6W8A1_9BACT	deleted			
R6WUJ1	R6WUJ1		R6WUJ1_9CLOT	deleted			
R6XX64	R6XX64		R6XX64_9CLOT	deleted			
R6YU86	R6YU86		R6YU86_9CLOT	deleted			
R7AZP2	R7AZP2		R7AZP2_9CLOT	deleted			
R7BS51	R7BS51		R7BS51_9FIRM	deleted			
R7CL31	R7CL31		R7CL31_9FIRM	deleted			
R7DJF3	R7DJF3		R7DJF3_9BACT	deleted			
R7GDI8	R7GDI8		R7GDI8_9CLOT	deleted			
R7II82	R7II82		R7II82_9FIRM	deleted			
R7JP29	R7JP29		R7JP29_9FIRM	deleted			
R7L5K6	R7L5K6		R7L5K6_9CLOT	deleted			
R7MG86	R7MG86		R7MG86_9CLOT	deleted			
R7R4M1	R7R4M1		R7R4M1_9FIRM	deleted			
R9NBT6	R9NBT6		R9NBT6_9FIRM	deleted			
V6DPG3	V6DPG3		V6DPG3_9EURY	deleted			
V6DYI5	V6DYI5		V6DYI5_9EURY	deleted			
W1HQT6	W1HQT6		W1HQT6_KLEPN	deleted			
W1TRA9	W1TRA9		W1TRA9_9ACTO	deleted			
W4TIR1	W4TIR1		W4TIR1_CUTAC	deleted			
W4U717	W4U717		W4U717_CUTAC	deleted			
W7C0Q8	W7C0Q8		W7C0Q8_9LIST	deleted			
X5DVB3	X5DVB3		X5DVB3_9BACT	deleted			
X7YGU2	X7YGU2		X7YGU2_MYCKA	deleted			
X8AUC3	X8AUC3		X8AUC3_MYCXE	deleted			
X8FG83	X8FG83		X8FG83_MYCUL	deleted			
